Track 0:
UnknownMetaMessage(type_byte=8, data=(66, 97, 99, 104, 32, 67, 101, 108, 108, 111, 32, 83, 117, 105, 116, 101, 32, 78, 111, 46, 32, 49, 32, 70, 111, 114, 32, 86, 105, 111, 108, 105, 110, 0), time=0)
UnknownMetaMessage(type_byte=10, data=(74, 46, 83, 46, 32, 66, 97, 99, 104, 0), time=0)
UnknownMetaMessage(type_byte=12, data=(65, 100, 97, 112, 116, 101, 100, 32, 102, 111, 114, 32, 118, 105, 111, 108, 105, 110, 32, 98, 121, 32, 86, 105, 116, 116, 111, 114, 105, 97, 0), time=0)
MetaMessage('device_name', name='Arranged by mateuszswoboda\x00', time=0)
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=84 velocity=80 time=1
note_on channel=0 note=84 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=85 velocity=80 time=1
note_on channel=0 note=85 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=86 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=85 velocity=80 time=1
note_on channel=0 note=85 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=85 velocity=80 time=1
note_on channel=0 note=85 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=85 velocity=80 time=1
note_on channel=0 note=85 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=85 velocity=80 time=1
note_on channel=0 note=85 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=85 velocity=80 time=1
note_on channel=0 note=85 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=85 velocity=80 time=1
note_on channel=0 note=85 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=69 velocity=80 time=0
note_on channel=0 note=66 velocity=80 time=0
note_on channel=0 note=74 velocity=0 time=479
note_on channel=0 note=69 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=86 velocity=80 time=1
note_on channel=0 note=78 velocity=80 time=0
note_on channel=0 note=74 velocity=80 time=0
note_on channel=0 note=86 velocity=0 time=959
note_on channel=0 note=78 velocity=0 time=0
note_on channel=0 note=74 velocity=0 time=0
MetaMessage('end_of_track', time=1)
